,0
0,恭喜
1,恭喜開版
2,爽
3,恭喜開版
4,恭喜
5,恭喜
6,恭喜開板
7,恭喜開板
8,耶 有科技系板耶
9,台北電腦展明天早上免費喔!!!
10,恭喜開板 ^^
11,恭喜!!
12,Re: 耶 有科技系板耶
13,恭喜開版
14,Re: 恭喜開版
15,恭喜開板
16,[問題] 請問一下 誰知道
17,恭喜開板
18,恭喜開版
19,恭喜開版~
20,[爽]版開的真快...
21,恭喜開板
22,賀開板
23,恭喜開版
24,恭喜開版
25,恭喜開版阿
26,恭喜開版
27,ITE的來po個ID對照表吧!!
28,Re: ITE的來po個ID對照表吧!!
29,恭喜開版
30,Re: ITE的來po個ID對照表吧!!
31,車車車車車車車車車車車車車車車來了
32,Re: ITE的來po個ID對照表吧!!
33,Re: ITE的來po個ID對照表吧!!
34,Re: ITE的來po個ID對照表吧!!
35,Re: ITE的來po個ID對照表吧!!
36,[情報] 防止網路釣魚　趨勢科技：分辨網頁安全性是方法之一 
37,海洋音樂祭
38,Re: 海洋音樂祭
39,大考後天網路放榜
40,[問題] excel 格子內不能打0開頭的數字
41,Re: [問題] excel 格子內不能打0開頭的數字
42,[問題] 請問...
43,Re: [問題] 請問...
44,[問題] 請問...
45,Re: [問題] 請問...
46,[閒聊] 美高中 給筆記型電腦 不給教科書
47,[心得] 都沒人在喔
48,Re: [心得] 都沒人在喔
49,[限女學生] 徵求室友-近六張黎捷運站
50,Re: 恭喜開版
51,[心得] 楓之谷攻略 大公開
52,!
53,Re: !
54,乾掉好久囉...
55,[問題]幹  放假都沒人來....
56,[轉錄][公告]戰爭本身就是一種罪惡
57,[轉錄][轉錄][公告]水桶名單
58,[公告] 以上兩篇文
59,[長恨歌]歪拍板皇水桶他媽亂浸!
60,[閒聊] 小弟目前92元
61,[閒聊] 大家明天要看世足阿
62,[建議] 我要罷免八卦版主
63,[閒聊] 
64,Re: [閒聊] 
65,Re: [閒聊] 
66,Re: [閒聊] 
67,[問題] 這邊也是系板嗎？
68,Re: [問題] 這邊也是系板嗎？
69,Re: ITE的來po個ID對照表吧!!
70,[問題] 您好…請問有關科技教育概論和科技教學實務…
71,[問題] 關於傲月
72,哇板主還在
73,Re: 哇板主還在
74,[轉錄][分享] 日本東京茅場町 GRE 考場攻略 (含圖)
75,Re: 哇板主還在
76,[閒聊]竟然有ntnuite
77,[問題] 不好意思請問一下
78,[問題] 我想請問貴系的學長姐們
79,Re: [問題] 我想請問貴系的學長姐們
80,Re: [問題] 我想請問貴系的學長姐們
81,[問題] 請問一下
82,[問題] 選組
83,[問題] 請問
84,[問題]有關貴系網路學習組的研究所考試方向
85,[問題] wood 呢？ moon 呢？
86,[情報] 改衣服
87,[問題]大家好
88,[閒聊] 有在屏東的系友嗎?
89,[問題] 請問貴所找教授問題?
90,Re: [問題] 請問貴所找教授問題?
91,Re: [問題] 請問貴所找教授問題?
92,[請益] 各位大大好 我想申請 貴博士班
93,[請益] 計算機概論一書
94,[情報] 徵求一位高中兼課老師
95,[問題} 請問各位學長姊 教授面試會問那些問題呢?
96,[問題] 報考貴系所問題
97,[情報] 桃園市立壽山高中徵生科代理(兼課)教師
98,滿懷感激的科技系也要支持中華隊
